,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2020-10-02,12.66072111294147,12.706962054496726,12.549743382392418,12.64222526550293,7740400,0.0,0.0,1,0
2020-10-05,13.104631973657977,13.132376183804679,12.96591004095193,12.993654251098633,10194400,0.0,0.0,0,0
2020-10-06,13.076886891581783,13.123126944752284,12.845683097839355,12.845683097839355,11187800,0.0,0.0,1,0
2020-10-07,13.234106501061273,13.483806157775048,13.215609772874489,13.446813583374023,18332700,0.0,0.0,0,0
2020-10-08,13.724257969541219,13.779746388689542,13.613280249272053,13.687265396118164,11197000,0.0,0.0,1,0
2020-10-09,13.844484761194849,14.11268115271156,13.798243821559712,14.057191848754883,8471800,0.0,0.0,0,0
2020-10-12,14.195915560288032,14.427119391029057,14.158922982648374,14.380878448486328,17959500,0.0,0.0,0,0
2020-10-13,14.436365235798435,14.62132898498066,14.40862102621011,14.538095474243164,14513000,0.0,0.0,1,0
2020-10-14,14.806292486958373,15.370430358599064,14.769299911930505,15.12997817993164,26818600,0.0,0.0,-1,0
2020-10-15,14.038696236989818,14.149673964787562,13.983206932104654,14.11268138885498,16033700,0.0,0.0,0,0
2020-10-16,14.269899320034714,14.39937288812527,14.269899320034714,14.343884468078613,13317600,0.0,0.0,0,0
2020-10-19,14.214410347391018,14.260651286483082,13.983206533903253,14.001703262329102,28085300,0.0,0.0,0,0
2020-10-20,14.168168890782999,14.242154037838848,14.103432107602261,14.214409828186035,14350400,0.0,0.0,0,0
2020-10-21,14.334636791834658,14.47335873057951,14.149673912850663,14.186666488647461,13686700,0.0,0.0,0,0
2020-10-22,14.131177551361029,14.223659434243743,13.992455609009559,14.195915222167969,6873600,0.0,0.0,0,0
2020-10-23,14.16226152637393,14.302482475955262,14.143565934661519,14.22769832611084,7125700,0.164,0.0,0,0
2020-10-26,14.040737673132053,14.10617358007426,13.881821134988943,13.947257041931152,9727200,0.0,0.0,0,0
2020-10-27,13.835079414183504,13.92855914439246,13.750947032947346,13.881819725036621,9214500,0.0,0.0,-1,0
2020-10-28,13.554639138064118,13.601379451322426,13.35833053557709,13.442462921142578,11488500,0.0,0.0,0,0
2020-10-29,13.517246622918254,13.517246622918254,13.283545955780315,13.348981857299805,11173300,0.0,0.0,0,0
2020-10-30,13.302240980658905,13.348981290401005,13.133977113683507,13.33963394165039,9171900,0.0,0.0,0,0
2020-11-02,13.423766083597704,13.49855022623077,13.246153967718495,13.320938110351562,5958100,0.0,0.0,0,0
2020-11-03,13.302242796775527,13.517247894344305,13.274198963700428,13.367679595947266,4398900,0.0,0.0,1,0
2020-11-04,13.70420772301656,13.89116808858689,13.666815649902494,13.722904205322266,5624600,0.0,0.0,0,0
2020-11-05,13.956605089129127,14.06878131011073,13.891168291600174,14.031389236450195,6133400,0.0,0.0,0,0
2020-11-06,14.08747676841022,14.152913565322397,13.853776087360297,13.956604957580566,5514900,0.0,0.0,0,0
2020-11-09,14.349221722993658,14.405309385447906,13.863123893737793,13.863123893737793,6601300,0.0,0.0,0,0
2020-11-10,13.592031478881836,13.657467383837757,13.461158777472653,13.592031478881836,6081300,0.0,0.0,1,0
2020-11-11,13.881820132757849,14.106172561645508,13.863123651268557,14.106172561645508,8851700,0.0,0.0,0,0
2020-11-12,13.872472808387698,14.171609399997989,13.872472808387698,13.975300788879395,15504200,0.0,0.0,0,0
2020-11-13,14.03138922033364,14.293133735656738,14.003344496497434,14.293133735656738,7086500,0.0,0.0,0,0
2020-11-16,14.29313273079446,14.517485156727133,14.274437141048718,14.452049255371094,7321200,0.0,0.0,0,0
2020-11-17,14.171609596597271,14.349222618952888,14.143565763619103,14.283785820007324,12855000,0.0,0.0,0,0
